No,DateTime,Comment,Charging,Discharging,PackVolt,Current,Protect,Cell01,Cell02,Cell03,Cell04,Cell05,Cell06,Cell07,Cell08,Cell09,Cell10,Cell11,Cell12,Cell13,Cell14,Temp01,Temp02,Temp03,Temp04,FAN0,FAN1,BAL0,BAL1
1508,2025.03.02 17:10:35,0,ON,ON,52.417,0,0,3.749,3.749,3.749,3.749,3.749,3.749,3.749,3.749,3.749,3.749,3.749,3.749,3.749,3.749,19,19,19,19,OFF,OFF,0,0
1509,2025.03.02 17:10:36,0,ON,ON,52.421,0,0,3.749,3.749,3.749,3.749,3.749,3.749,3.749,3.749,3.749,3.749,3.749,3.749,3.749,3.749,19,19,19,19,OFF,OFF,0,0
1510,2025.03.02 17:10:37,0,ON,ON,52.425,0,0,3.749,3.749,3.749,3.749,3.749,3.749,3.749,3.749,3.749,3.749,3.749,3.749,3.749,3.749,19,19,19,19,OFF,OFF,0,0
1511,2025.03.02 17:10:38,0,ON,ON,52.427,0,0,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,19,19,19,19,OFF,OFF,0,0
1512,2025.03.02 17:10:39,0,ON,ON,52.428,0,0,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,19,19,19,19,OFF,OFF,0,0
1513,2025.03.02 17:10:40,0,ON,ON,52.198,-1.732,0,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,19,19,19,19,OFF,OFF,0,0
1514,2025.03.02 17:10:41,0,ON,ON,52.147,-1.97,0,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,19,19,19,19,OFF,OFF,0,0
1515,2025.03.02 17:10:42,0,ON,ON,52.067,-2.653,0,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,19,19,19,19,OFF,OFF,0,0
1516,2025.03.02 17:10:43,0,ON,ON,52.044,-2.786,0,3.728,3.728,3.728,3.728,3.728,3.728,3.728,3.728,3.728,3.728,3.728,3.728,3.728,3.728,19,19,19,19,OFF,OFF,0,0
1517,2025.03.02 17:10:44,0,ON,ON,51.992,-3.23,0,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,19,19,19,19,OFF,OFF,0,0
1518,2025.03.02 17:10:45,0,ON,ON,51.916,-2.624,0,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,19,19,19,19,OFF,OFF,0,0
1519,2025.03.02 17:10:46,0,ON,ON,51.872,-3.621,0,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,19,19,19,19,OFF,OFF,0,0
1520,2025.03.02 17:10:47,0,ON,ON,51.819,-4.135,0,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,19,19,19,19,OFF,OFF,0,0
1521,2025.03.02 17:10:48,0,ON,ON,51.86,-3.234,0,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,19,19,19,19,OFF,OFF,0,0
1522,2025.03.02 17:10:49,0,ON,ON,51.866,-3.145,0,3.709,3.709,3.709,3.709,3.709,3.709,3.709,3.709,3.709,3.709,3.709,3.709,3.709,3.709,19,19,19,19,OFF,OFF,0,0
1523,2025.03.02 17:10:50,0,ON,ON,51.797,-3.716,0,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,19,19,19,19,OFF,OFF,0,0
1524,2025.03.02 17:10:51,0,ON,ON,51.804,-3.691,0,3.708,3.708,3.708,3.708,3.708,3.708,3.708,3.708,3.708,3.708,3.708,3.708,3.708,3.708,19,19,19,19,OFF,OFF,0,0
1525,2025.03.02 17:10:52,0,ON,ON,51.805,-3.694,0,3.706,3.706,3.706,3.706,3.706,3.706,3.706,3.706,3.706,3.706,3.706,3.706,3.706,3.706,19,19,19,19,OFF,OFF,0,0
1526,2025.03.02 17:10:53,0,ON,ON,51.741,-4.392,0,3.704,3.704,3.704,3.704,3.704,3.704,3.704,3.704,3.704,3.704,3.704,3.704,3.704,3.704,19,19,19,19,OFF,OFF,0,0
1527,2025.03.02 17:10:54,0,ON,ON,51.796,-3.741,0,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,19,19,19,19,OFF,OFF,0,0
1528,2025.03.02 17:10:55,0,ON,ON,51.785,-4.027,0,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,19,19,19,19,OFF,OFF,0,0
